City,Date,MeanRad
Houston,20191217,33.7136785692965
Houston,20191218,30.7361377068511
Houston,20191219,28.8146252650091
Houston,20191220,31.0450367968651
Houston,20191221,31.0450367968651
Houston,20191222,36.5132603624533
Houston,20191223,37.40880723145
Houston,20191224,34.3704825114966
Houston,20191225,32.5893579290523
Houston,20191226,33.4987417644087
Houston,20191227,34.0897863081828
Houston,20191228,23.9717375551629
Houston,20191229,33.4218098035997
Houston,20191230,27.0242631872558
Houston,20191231,28.106185133314
Las_Vegas,20191201,29.5076674024042
Las_Vegas,20191202,32.2047118440898
Las_Vegas,20191203,32.2064861012718
Las_Vegas,20191204,32.2020472990377
Las_Vegas,20191205,24.8888291791675
Las_Vegas,20191206,31.6359267711761
Las_Vegas,20191207,21.8635465135669
Las_Vegas,20191208,29.2657640848751
Las_Vegas,20191209,29.2947356305109
Las_Vegas,20191210,35.1535904048315
Las_Vegas,20191211,28.7214202643705
Las_Vegas,20191212,29.3374568239028
Las_Vegas,20191213,30.9932827584141
Las_Vegas,20191214,29.0745167963851
Las_Vegas,20191215,60.5033206591067
Las_Vegas,20191216,30.8935701700403
Las_Vegas,20191217,34.469143146636
Las_Vegas,20191218,30.5604616492982
Las_Vegas,20191219,30.326557987227
Las_Vegas,20191220,34.0803054296602
Las_Vegas,20191221,29.2657640848751
Las_Vegas,20191222,29.2657640848751
Las_Vegas,20191223,29.2657640848751
Las_Vegas,20191224,29.272345060599
Las_Vegas,20191225,31.0571493092041
Las_Vegas,20191226,29.4846454210133
Las_Vegas,20191227,29.4846454210133
Las_Vegas,20191228,37.35961970925
Las_Vegas,20191229,32.2610068770974
Las_Vegas,20191230,31.6077620302712
Las_Vegas,20191231,39.7353315094643
Los_Angeles,20191201,18.8234290590191
Los_Angeles,20191202,18.8446550942243
Los_Angeles,20191203,18.8282231672213
Los_Angeles,20191204,18.8286530406957
Los_Angeles,20191205,16.0900817242931
Los_Angeles,20191206,18.6974610023228
Los_Angeles,20191207,17.6332426041376
Los_Angeles,20191208,18.5376755321346
Los_Angeles,20191209,15.9483454588714
Los_Angeles,20191210,17.6152280356202
Los_Angeles,20191211,23.1170710072947
Los_Angeles,20191212,18.9885551239391
Los_Angeles,20191213,18.7596605638924
Los_Angeles,20191214,16.4744039936642
Los_Angeles,20191215,19.8385141762796
Los_Angeles,20191216,21.191782481796
Los_Angeles,20191217,24.0233491502675
Los_Angeles,20191218,21.3909939090906
Los_Angeles,20191219,18.2779573468408
Los_Angeles,20191220,18.6190501775715
Los_Angeles,20191221,18.5390713875356
Los_Angeles,20191222,18.5378306926672
Los_Angeles,20191223,18.5377941438721
Los_Angeles,20191224,17.367921855292
Los_Angeles,20191225,18.6210870129044
Los_Angeles,20191226,18.5028545598255
Los_Angeles,20191227,23.7738005084261
Los_Angeles,20191228,23.779721141445
Los_Angeles,20191229,19.3964426242724
Los_Angeles,20191230,19.8890539318421
Los_Angeles,20191231,19.6486003679054
Miami,20191201,27.50785357154
Miami,20191202,27.0119845158624
Miami,20191203,30.0193813358764
Miami,20191204,35.0278344046638
Miami,20191205,30.8410333222781
Miami,20191206,27.2081583659251
Miami,20191207,29.7844499032401
Miami,20191208,29.7261527947506
Miami,20191209,34.8071615708465
Miami,20191210,33.3336948544473
Miami,20191211,29.4522275143109
Miami,20191212,23.289066021074
